What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play ,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,"If I have to resort to violence to protect my rights, I will","Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?
20,male,12th,Lahore,joint,action,Pubg,more than 3 hour,more than 2 hour,Frustation,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,no,yes
18,male,11th,Lahore,joint,action,Pubg,more than 3 hour,more than 2 hour,Agerresion .  voilent stunt,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
16,male,11th,Lahore ,nuclear,action,PUBG ,more than 1 hour,more than 1 hour,aggressive ,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,yes,yes
19,female,12th,Lahore,nuclear,word connect,word connect,less than 1 hour,less than 1 hour,feel fresh,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,no,yes
19,male,12th,Balochistan ,joint,action,Pubg,more than 2 hour,more than 2 hour,Aggression ,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,yes,yes
18,male,Bachelor ,Pakistan Lahore ,joint,action,PubG ,less than 1 hour,less than 1 hour,Always attentive ,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,no,yes
17,male,10th,Kasur,nuclear,Racing,Need for Speed,less than 1 hour,less than 1 hour,i think I forget other important things once start playing,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,yes,yes
17,male,12th,Lahore ,joint,sports,Cricket ??  and football ,less than 1 hour,less than 1 hour,No chnged,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,no,no
19,male,Job,Alhumdullah,joint,Pubg,Pubg,more than 2 hour,less than 1 hour,No it's depends on your mind??????,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,no,no
18,male,12th,Lahore ,extended,sports,Pubg,more than 1 hour,less than 1 hour,"Aggression, anxiety ",Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,no,no
20,male,Uni,House,nuclear,"I play many :fps,fighting,action and sports","GTA, call of duty, fortnite, and storymode games(role playing in a story)",more than 3 hour,more than 2 hour,"Mostly none , I feel good after a hard day",Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,yes,yes
19,male,12th,Goood ,joint,sports,Football ,less than 1 hour,less than 1 hour,football ,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,yes,no
17,male,11th,Larkana,joint,sports,No,less than 1 hour,less than 1 hour,No,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,no,no
17,male,12th,Lahore ,nuclear,Free fire,Free fire,more than 1 hour,less than 1 hour,Nothing ,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,no,no
17,male,12th,Lahore Pakistan ,joint,sports,Score hero ,less than 1 hour,less than 1 hour,Nothing much,Agree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,no,yes
18,female,11th,Own,nuclear,puzzle,Subway surfer's ,more than 3 hour,less than 1 hour,I feel anger,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,yes,yes
19,male,12th,Pakpattan ,joint,puzzle,Bubble shooter,more than 1 hour,less than 1 hour,Aggressive behavior ,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly disagree,no,yes
17,male,11th,Lahore,joint,puzzle,Taken 3,more than 2 hour,less than 1 hour,Feeling superstitious ,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,no,yes
19,male,12th,Lahore,joint,action,"Valorant, Pubg, GTA 5",more than 3 hour,more than 3 hour,Cool Mind ,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,no,yes
17,male,11th,Family,joint,action,Pubg,more than 5 hour,more than 5 hour,"Agression, hypertension, losing control on myself",Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,yes,yes
19,male,12th,Allama Iqbal Town lahore ,joint,sports,Cricket ,more than 2 hour,less than 1 hour,Aggressive ,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,no,yes
20,male,Msc,Owner,joint,puzzle,Candy crush,less than 1 hour,less than 1 hour,No change ,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,yes,no
"20, 23",male,14,Chaman,joint,puzzle,Clash of clains,less than 1 hour,less than 1 hour,Mind relaxed and time pass,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,no,no
20,male,Bs ,Quetta ,joint,sports,Pubg,more than 3 hour,less than 1 hour,I can't play ,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,no,yes
19,male,11th,Lahore,nuclear,sports,Sports,less than 1 hour,less than 1 hour,Aggressive ,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,no,yes
19,female,12th,Balochistan,joint,action,Pubg,more than 1 hour,more than 1 hour,Little aggression,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,yes,yes
19,male,12th,Lahore DHA ,joint,sports,Cricket ,more than 1 hour,less than 1 hour,Headache ,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,no,yes
23,male,MA History ,Punjab university Hostel,nuclear,sports,Cricket ,less than 1 hour,less than 1 hour,Encourage ,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,no,yes
20,male,BS,Lahire DHA,nuclear,puzzle,Sega,more than 1 hour,more than 2 hour,I feel confident,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
18,male,12th,Lahore,joint,fighting,PUBG,more than 2 hour,less than 1 hour,I feel aggressive,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,yes,yes
